dataset,source_path,subject_id,trial_id,activity_id,class_dir,source_hz,target_hz,raw_samples,processed_samples,duration_seconds,effective_fs_before,effective_fs_after,resampling_method,timestamp_mode,acc_rows,gyro_rows
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl5.csv,user1,user1_adl5,adl5,adl,20.0,25.0,166,207,8.24,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,384,166
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl6.csv,user1,user1_adl6,adl6,adl,20.0,25.0,36,44,1.72,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,36,41
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl7.csv,user1,user1_adl7,adl7,adl,20.0,25.0,19,23,0.88,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,19,19
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl8.csv,user1,user1_adl8,adl8,adl,20.0,25.0,59,73,2.88,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,91,59
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl9.csv,user1,user1_adl9,adl9,adl,20.0,25.0,90,112,4.44,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,90,90
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl1.csv,user10,user10_adl1,adl1,adl,20.0,25.0,2026,2532,101.24000000000001,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,2028,2026
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl10.csv,user10,user10_adl10,adl10,adl,20.0,25.0,562,702,28.04,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,562,562
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl11.csv,user10,user10_adl11,adl11,adl,20.0,25.0,1136,1419,56.72,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1136,1136
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl12.csv,user10,user10_adl12,adl12,adl,20.0,25.0,713,891,35.6,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,713,713
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl13.csv,user10,user10_adl13,adl13,adl,20.0,25.0,501,626,25.0,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,502,501
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl14.csv,user10,user10_adl14,adl14,adl,20.0,25.0,477,596,23.8,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,477,477
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl15.csv,user10,user10_adl15,adl15,adl,20.0,25.0,1118,1397,55.84,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1118,1118
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl16.csv,user10,user10_adl16,adl16,adl,20.0,25.0,1137,1421,56.800000000000004,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1137,1137
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl2.csv,user10,user10_adl2,adl2,adl,20.0,25.0,4876,6094,243.72,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,4876,5681
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl3.csv,user10,user10_adl3,adl3,adl,20.0,25.0,2429,3036,121.4,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,2430,2429
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl4.csv,user10,user10_adl4,adl4,adl,20.0,25.0,773,966,38.6,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,773,773
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl5.csv,user10,user10_adl5,adl5,adl,20.0,25.0,1592,1989,79.52,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1592,1592
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl6.csv,user10,user10_adl6,adl6,adl,20.0,25.0,2073,2591,103.60000000000001,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,2073,2073
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl7.csv,user10,user10_adl7,adl7,adl,20.0,25.0,749,936,37.4,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,749,749
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl8.csv,user10,user10_adl8,adl8,adl,20.0,25.0,3467,4333,173.28,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,3468,3467
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user10\user10_adl9.csv,user10,user10_adl9,adl9,adl,20.0,25.0,362,452,18.04,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,362,362
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl1.csv,user11,user11_adl1,adl1,adl,20.0,25.0,601,751,30.0,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,614,601
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl10.csv,user11,user11_adl10,adl10,adl,20.0,25.0,1139,1423,56.88,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1139,1139
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl11.csv,user11,user11_adl11,adl11,adl,20.0,25.0,635,793,31.68,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,635,635
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl12.csv,user11,user11_adl12,adl12,adl,20.0,25.0,795,993,39.68,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,795,795
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl13.csv,user11,user11_adl13,adl13,adl,20.0,25.0,661,826,33.0,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,661,661
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl14.csv,user11,user11_adl14,adl14,adl,20.0,25.0,912,1139,45.52,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,912,912
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl15.csv,user11,user11_adl15,adl15,adl,20.0,25.0,938,1172,46.84,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,939,938
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl16.csv,user11,user11_adl16,adl16,adl,20.0,25.0,487,608,24.28,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,487,487
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl2.csv,user11,user11_adl2,adl2,adl,20.0,25.0,377,471,18.8,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,380,377
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl3.csv,user11,user11_adl3,adl3,adl,20.0,25.0,2240,2799,111.92,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,2240,3364
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl4.csv,user11,user11_adl4,adl4,adl,20.0,25.0,1246,1557,62.24,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1246,1246
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl5.csv,user11,user11_adl5,adl5,adl,20.0,25.0,785,981,39.2,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,785,785
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl6.csv,user11,user11_adl6,adl6,adl,20.0,25.0,379,473,18.88,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,380,379
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl7.csv,user11,user11_adl7,adl7,adl,20.0,25.0,1112,1389,55.52,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1112,1787
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl8.csv,user11,user11_adl8,adl8,adl,20.0,25.0,854,1067,42.64,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,854,873
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user11\user11_adl9.csv,user11,user11_adl9,adl9,adl,20.0,25.0,1536,1919,76.72,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1536,1536
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl1.csv,user12,user12_adl1,adl1,adl,20.0,25.0,948,1184,47.32,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,949,948
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl10.csv,user12,user12_adl10,adl10,adl,20.0,25.0,228,284,11.32,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,235,228
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl11.csv,user12,user12_adl11,adl11,adl,20.0,25.0,179,223,8.88,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,180,179
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl12.csv,user12,user12_adl12,adl12,adl,20.0,25.0,399,498,19.88,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,399,399
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl13.csv,user12,user12_adl13,adl13,adl,20.0,25.0,1318,1647,65.84,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1318,1460
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl14.csv,user12,user12_adl14,adl14,adl,20.0,25.0,728,909,36.32,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,728,728
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl15.csv,user12,user12_adl15,adl15,adl,20.0,25.0,570,712,28.44,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,571,570
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl16.csv,user12,user12_adl16,adl16,adl,20.0,25.0,579,723,28.88,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,579,591
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl2.csv,user12,user12_adl2,adl2,adl,20.0,25.0,616,769,30.72,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,619,616
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl3.csv,user12,user12_adl3,adl3,adl,20.0,25.0,358,447,17.84,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,358,358
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl4.csv,user12,user12_adl4,adl4,adl,20.0,25.0,830,1037,41.44,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,831,830
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl5.csv,user12,user12_adl5,adl5,adl,20.0,25.0,644,804,32.12,20.0,25.000000000000004,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,645,644
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl6.csv,user12,user12_adl6,adl6,adl,20.0,25.0,632,789,31.52,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,633,632
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl7.csv,user12,user12_adl7,adl7,adl,20.0,25.0,320,399,15.92,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,320,320
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl8.csv,user12,user12_adl8,adl8,adl,20.0,25.0,266,332,13.24,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,266,286
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user12\user12_adl9.csv,user12,user12_adl9,adl9,adl,20.0,25.0,211,263,10.48,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,212,211
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl1.csv,user13,user13_adl1,adl1,adl,20.0,25.0,801,1001,40.0,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,801,801
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl10.csv,user13,user13_adl10,adl10,adl,20.0,25.0,294,367,14.64,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,295,294
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl11.csv,user13,user13_adl11,adl11,adl,20.0,25.0,194,242,9.64,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,210,194
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl12.csv,user13,user13_adl12,adl12,adl,20.0,25.0,489,611,24.400000000000002,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,502,489
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl13.csv,user13,user13_adl13,adl13,adl,20.0,25.0,430,537,21.44,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,430,430
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl14.csv,user13,user13_adl14,adl14,adl,20.0,25.0,157,196,7.8,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,176,157
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl15.csv,user13,user13_adl15,adl15,adl,20.0,25.0,228,284,11.32,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,242,228
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl16.csv,user13,user13_adl16,adl16,adl,20.0,25.0,278,347,13.84,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,279,278
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl2.csv,user13,user13_adl2,adl2,adl,20.0,25.0,323,403,16.080000000000002,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,323,323
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl3.csv,user13,user13_adl3,adl3,adl,20.0,25.0,181,226,9.0,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,182,181
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl4.csv,user13,user13_adl4,adl4,adl,20.0,25.0,178,222,8.84,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,179,178
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl5.csv,user13,user13_adl5,adl5,adl,20.0,25.0,1046,1307,52.24,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1047,1046
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl6.csv,user13,user13_adl6,adl6,adl,20.0,25.0,766,957,38.24,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,767,766
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl7.csv,user13,user13_adl7,adl7,adl,20.0,25.0,226,282,11.24,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,226,232
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl8.csv,user13,user13_adl8,adl8,adl,20.0,25.0,179,223,8.88,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,186,179
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user13\user13_adl9.csv,user13,user13_adl9,adl9,adl,20.0,25.0,720,899,35.92,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,720,720
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl1.csv,user14,user14_adl1,adl1,adl,20.0,25.0,308,384,15.32,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,308,308
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl10.csv,user14,user14_adl10,adl10,adl,20.0,25.0,378,472,18.84,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,379,378
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl11.csv,user14,user14_adl11,adl11,adl,20.0,25.0,344,429,17.12,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,344,344
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl12.csv,user14,user14_adl12,adl12,adl,20.0,25.0,389,486,19.400000000000002,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,389,389
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl13.csv,user14,user14_adl13,adl13,adl,20.0,25.0,234,292,11.64,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,235,234
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl14.csv,user14,user14_adl14,adl14,adl,20.0,25.0,542,677,27.04,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,542,542
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl15.csv,user14,user14_adl15,adl15,adl,20.0,25.0,347,433,17.28,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,347,347
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl16.csv,user14,user14_adl16,adl16,adl,20.0,25.0,470,587,23.44,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,470,470
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl2.csv,user14,user14_adl2,adl2,adl,20.0,25.0,287,358,14.280000000000001,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,287,287
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl3.csv,user14,user14_adl3,adl3,adl,20.0,25.0,2305,2881,115.2,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,2305,2305
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl4.csv,user14,user14_adl4,adl4,adl,20.0,25.0,364,454,18.12,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,364,370
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl5.csv,user14,user14_adl5,adl5,adl,20.0,25.0,1080,1349,53.92,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,1080,1080
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl6.csv,user14,user14_adl6,adl6,adl,20.0,25.0,256,319,12.72,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,256,256
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl7.csv,user14,user14_adl7,adl7,adl,20.0,25.0,258,322,12.84,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,259,258
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl8.csv,user14,user14_adl8,adl8,adl,20.0,25.0,275,343,13.68,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,276,275
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user14\user14_adl9.csv,user14,user14_adl9,adl9,adl,20.0,25.0,277,346,13.8,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,277,277
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user15\user15_adl1.csv,user15,user15_adl1,adl1,adl,20.0,25.0,998,1247,49.84,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,998,998
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user15\user15_adl10.csv,user15,user15_adl10,adl10,adl,20.0,25.0,521,651,26.0,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,521,521
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user15\user15_adl11.csv,user15,user15_adl11,adl11,adl,20.0,25.0,181,226,9.0,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,181,181
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user15\user15_adl12.csv,user15,user15_adl12,adl12,adl,20.0,25.0,214,267,10.64,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,214,214
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user15\user15_adl13.csv,user15,user15_adl13,adl13,adl,20.0,25.0,315,393,15.68,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,315,315
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user15\user15_adl14.csv,user15,user15_adl14,adl14,adl,20.0,25.0,852,1064,42.52,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,852,852
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user15\user15_adl15.csv,user15,user15_adl15,adl15,adl,20.0,25.0,579,723,28.88,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,580,579
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user15\user15_adl16.csv,user15,user15_adl16,adl16,adl,20.0,25.0,229,286,11.4,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,229,229
