dataset,subject_id,direction_label,count
umafall,subject_17,none,30
umafall,subject_18,backward,19
umafall,subject_18,forward,20
umafall,subject_18,lateral,17
umafall,subject_18,none,60
umafall,subject_19,backward,6
umafall,subject_19,forward,6
umafall,subject_19,lateral,6
umafall,subject_19,none,50
weda,U01,backward,9
weda,U01,forward,9
weda,U01,lateral,7
weda,U01,none,80
weda,U02,backward,9
weda,U02,forward,9
weda,U02,lateral,7
weda,U02,none,80
weda,U03,backward,9
weda,U03,forward,9
weda,U03,lateral,7
weda,U03,none,80
weda,U04,backward,9
weda,U04,forward,9
weda,U04,lateral,7
weda,U04,none,76
weda,U05,backward,9
weda,U05,forward,9
weda,U05,lateral,7
weda,U05,none,80
weda,U06,backward,9
weda,U06,forward,9
weda,U06,lateral,7
weda,U06,none,80
weda,U07,backward,9
weda,U07,forward,9
weda,U07,lateral,7
weda,U07,none,80
weda,U08,backward,9
weda,U08,forward,9
weda,U08,lateral,7
weda,U08,none,80
weda,U09,backward,9
weda,U09,forward,9
weda,U09,lateral,7
weda,U09,none,77
weda,U10,backward,9
weda,U10,forward,9
weda,U10,lateral,7
weda,U10,none,80
weda,U11,backward,9
weda,U11,forward,9
weda,U11,lateral,7
weda,U11,none,80
weda,U12,backward,9
weda,U12,forward,9
weda,U12,lateral,7
weda,U12,none,80
weda,U13,backward,9
weda,U13,forward,9
weda,U13,lateral,7
weda,U13,none,78
weda,U14,backward,9
weda,U14,forward,9
weda,U14,lateral,7
weda,U14,none,80
weda,U21,none,35
weda,U22,none,34
weda,U23,none,40
weda,U24,none,40
weda,U25,none,31
weda,U26,none,39
weda,U27,none,40
weda,U28,none,40
weda,U29,none,39
weda,U30,none,40
weda,U31,none,40
