feature,bits_median,weda_median,median_delta_bits_minus_weda,abs_median_delta
ay_range,36.604472,37.776638000000005,-1.1721660000000043,1.1721660000000043
integrated_gy,0.191699275,-0.8557492,1.047448475,1.047448475
az_median,3.4766202,2.4564407499999996,1.0201794500000005,1.0201794500000005
integrated_az,6.880782699999999,5.8951695,0.9856131999999995,0.9856131999999995
pre_ay_mean,-1.8083212971687317,-2.7877328395843506,0.9794115424156189,0.9794115424156189
post_ay_mean,-3.220909595489502,-2.2545158863067627,-0.9663937091827393,0.9663937091827393
post_az_mean,4.696815013885498,3.7452045679092407,0.9516104459762573,0.9516104459762573
gz_min,-3.55780135,-4.5054965,0.9476951499999995,0.9476951499999995
pitch_final_initial,-0.014666080500000001,-0.93328567,0.9186195895,0.9186195895
peak_signed_gz,-2.6788883,-3.502459,0.8235706999999999,0.8235706999999999
gyro_mag_iqr,1.9504919052124023,2.5677817463874817,-0.6172898411750793,0.6172898411750793
acc_mag_median,10.523222,9.937795,0.585427000000001,0.585427000000001
gyro_mag_std,1.5815321500000001,2.1666472,-0.5851150499999997,0.5851150499999997
pre_ax_mean,-6.970112562179565,-6.402517557144166,-0.5675950050353995,0.5675950050353995
integrated_ay,-4.6011187,-5.154485149999999,0.5533664499999995,0.5533664499999995
delta_pitch_window,-0.0488929003477096,-0.5936740562319756,0.5447811558842659,0.5447811558842659
post_gyro_mag_std,1.4745209217071533,2.018184781074524,-0.5436638593673706,0.5436638593673706
az_std,6.9119794,7.4509728,-0.5389933999999998,0.5389933999999998
gy_mean,0.09584963499999999,-0.4278746,0.523724235,0.523724235
pre_gyro_mag_std,1.116322934627533,1.6366267204284668,-0.5203037858009338,0.5203037858009338
az_mean,3.4403913,2.94758485,0.4928064499999998,0.4928064499999998
ay_max,14.3249875,14.807141999999999,-0.48215449999999827,0.48215449999999827
delta_roll_window,-0.16493255086243153,0.3158296979963779,-0.4807622488588094,0.4807622488588094
pitch_range,1.9028851,2.3755127500000004,-0.4726276500000004,0.4726276500000004
post_gy_mean,0.24372136592864985,-0.21773882955312723,0.4614601954817771,0.4614601954817771
gx_final_initial,-0.54452523,-0.1056978925,-0.43882733749999997,0.43882733749999997
gx_std,1.8341365,2.2596976,-0.4255610999999999,0.4255610999999999
pre_roll_mean,-0.24779077619314194,-0.64456906914711,0.39677829295396805,0.39677829295396805
pre_gy_mean,-0.01405969075858585,-0.4028403162956238,0.3887806255370379,0.3887806255370379
pitch_iqr,0.5303555196151137,0.8823072984814644,-0.35195177886635065,0.35195177886635065
